,Dependents,tenure,OnlineSecurity,OnlineBackup,InternetService,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,Churn,DurationOfTenure
2897,No,2,No,No,DSL,No,No,Month-to-month,No,44.65,Yes,< 1 Year
2898,No,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.3,No,> 3 Years
2899,No,59,No,No,DSL,No,Yes,Month-to-month,Yes,51.7,No,> 3 Years
2900,No,31,No,No,Fiber optic,No,No,Month-to-month,Yes,76.05,No,2 - 3 Years
2901,No,54,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.5,No,> 3 Years
2903,Yes,62,No,Yes,Fiber optic,Yes,Yes,One year,Yes,110.8,No,> 3 Years
2904,Yes,50,No,No,Fiber optic,No,No,Month-to-month,Yes,69.75,No,> 3 Years
2905,No,65,Yes,No,DSL,Yes,Yes,Two year,No,58.9,No,> 3 Years
2906,Yes,14,No,No,Fiber optic,No,No,Month-to-month,Yes,84.8,No,1 - 2 Years
2907,No,15,No,Yes,DSL,No,Yes,Month-to-month,Yes,58.6,Yes,1 - 2 Years
2908,Yes,29,Yes,Yes,DSL,Yes,Yes,Month-to-month,Yes,45.0,No,2 - 3 Years
2909,No,5,No,No,Fiber optic,No,No,Month-to-month,No,69.95,Yes,< 1 Year
2910,No,18,No,Yes,Fiber optic,No,Yes,Month-to-month,Yes,85.45,Yes,1 - 2 Years
2911,No,15,Yes,No,Fiber optic,Yes,Yes,Month-to-month,No,105.1,Yes,1 - 2 Years
2912,No,71,Yes,Yes,Fiber optic,Yes,No,One year,Yes,109.6,No,> 3 Years
2913,No,54,No,Yes,Fiber optic,Yes,Yes,One year,No,110.35,Yes,> 3 Years
2914,No,16,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.25,Yes,1 - 2 Years
2915,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,69.6,Yes,< 1 Year
2916,Yes,49,Yes,No,DSL,No,Yes,One year,Yes,35.8,No,> 3 Years
2917,Yes,63,No,Yes,Fiber optic,Yes,No,Two year,Yes,104.8,No,> 3 Years
2918,Yes,65,No,Yes,Fiber optic,Yes,No,One year,Yes,107.45,No,> 3 Years
2919,Yes,50,No,No,Fiber optic,No,No,Two year,No,70.35,No,> 3 Years
2920,No,63,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,103.4,Yes,> 3 Years
2921,No,47,No,Yes,Fiber optic,Yes,No,One year,Yes,103.1,No,> 3 Years
2922,No,2,Yes,No,Fiber optic,No,No,Month-to-month,Yes,74.4,Yes,< 1 Year
2923,No,3,No,No,Fiber optic,Yes,No,Month-to-month,Yes,74.75,No,< 1 Year
2924,No,66,No,Yes,Fiber optic,Yes,Yes,One year,No,110.9,Yes,> 3 Years
2925,No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,70.35,Yes,< 1 Year
2926,No,69,Yes,No,Fiber optic,Yes,Yes,Two year,No,110.25,No,> 3 Years
2927,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,70.45,Yes,< 1 Year
2928,Yes,46,Yes,No,DSL,Yes,Yes,One year,No,56.9,No,> 3 Years
2929,Yes,28,No,No,DSL,No,No,One year,Yes,51.0,No,2 - 3 Years
2930,Yes,50,No,No,Fiber optic,No,No,Month-to-month,Yes,84.4,Yes,> 3 Years
2931,No,51,Yes,Yes,Fiber optic,Yes,No,One year,Yes,93.5,No,> 3 Years
2932,Yes,51,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.95,No,> 3 Years
2933,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,74.4,Yes,< 1 Year
2934,No,42,Yes,No,DSL,Yes,No,Month-to-month,No,54.55,No,> 3 Years
2935,No,71,Yes,No,DSL,Yes,Yes,Two year,No,83.2,No,> 3 Years
2936,No,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,64.95,No,> 3 Years
2937,Yes,8,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.8,No,< 1 Year
2938,No,44,Yes,Yes,Fiber optic,Yes,No,One year,Yes,106.05,No,> 3 Years
2939,No,55,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.7,No,> 3 Years
2940,No,7,No,No,Fiber optic,Yes,No,Month-to-month,Yes,95.35,Yes,< 1 Year
2941,No,1,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,83.4,No,< 1 Year
2942,No,17,No,Yes,DSL,No,No,Month-to-month,Yes,49.8,No,1 - 2 Years
2943,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.5,Yes,< 1 Year
2944,No,15,No,No,DSL,No,No,One year,No,56.15,No,1 - 2 Years
2945,No,13,No,No,Fiber optic,Yes,No,Month-to-month,Yes,83.2,Yes,1 - 2 Years
2946,No,57,Yes,No,DSL,Yes,Yes,Two year,No,69.85,No,> 3 Years
2947,No,12,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.1,No,1 - 2 Years
2948,No,58,No,No,Fiber optic,No,Yes,Month-to-month,Yes,100.4,No,> 3 Years
2949,No,63,Yes,Yes,DSL,Yes,Yes,Two year,Yes,79.85,No,> 3 Years
2950,No,28,No,No,DSL,Yes,Yes,Month-to-month,Yes,35.75,No,2 - 3 Years
2951,Yes,12,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,21.05,No,1 - 2 Years
2952,Yes,41,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,74.55,No,> 3 Years
2953,No,16,No,No,Fiber optic,No,Yes,Month-to-month,Yes,94.45,Yes,1 - 2 Years
2954,Yes,24,Yes,No,Fiber optic,No,No,Month-to-month,Yes,79.85,No,2 - 3 Years
2955,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,116.55,No,> 3 Years
2956,No,61,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,106.45,No,> 3 Years
2957,No,20,No,No,Fiber optic,No,No,Month-to-month,Yes,69.8,No,1 - 2 Years
2958,No,12,Yes,No,DSL,No,Yes,Month-to-month,No,54.2,No,1 - 2 Years
2959,No,71,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.65,No,> 3 Years
2960,Yes,7,Yes,No,DSL,No,No,Month-to-month,No,29.8,No,< 1 Year
2961,No,14,No,No,Fiber optic,No,No,Month-to-month,Yes,86.1,Yes,1 - 2 Years
2962,Yes,70,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.15,No,> 3 Years
2963,No,56,No,No,Fiber optic,No,No,Month-to-month,Yes,85.6,No,> 3 Years
2964,No,5,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.35,Yes,< 1 Year
2965,Yes,17,Yes,No,Fiber optic,Yes,No,Month-to-month,No,94.4,Yes,1 - 2 Years
2966,No,1,No,No,DSL,Yes,Yes,One year,No,74.1,No,< 1 Year
2967,No,29,No,No,Fiber optic,No,No,Month-to-month,Yes,76.0,No,2 - 3 Years
2968,No,51,No,No,Fiber optic,Yes,No,One year,Yes,94.0,No,> 3 Years
2969,No,24,No,No,Fiber optic,No,No,Month-to-month,Yes,93.0,No,2 - 3 Years
2970,No,63,Yes,Yes,DSL,Yes,Yes,One year,No,80.0,No,> 3 Years
2971,No,2,No,No,DSL,No,Yes,Month-to-month,No,29.85,Yes,< 1 Year
2972,No,12,No,No,DSL,No,No,Month-to-month,Yes,45.0,No,1 - 2 Years
2973,No,4,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.2,No,< 1 Year
2974,No,5,No,No,Fiber optic,No,No,Month-to-month,Yes,74.35,Yes,< 1 Year
2975,No,58,No,Yes,Fiber optic,Yes,No,One year,Yes,103.25,Yes,> 3 Years
2976,Yes,53,Yes,Yes,DSL,No,Yes,One year,No,64.15,No,> 3 Years
2977,No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,74.75,Yes,< 1 Year
2978,Yes,7,No,No,DSL,No,No,Month-to-month,Yes,45.75,No,< 1 Year
2979,No,25,No,No,Fiber optic,No,No,Month-to-month,Yes,84.6,No,2 - 3 Years
2980,No,1,No,No,DSL,No,No,Month-to-month,Yes,35.75,Yes,< 1 Year
2981,No,25,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.9,No,2 - 3 Years
2982,No,71,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.85,No,> 3 Years
2983,No,8,Yes,No,DSL,No,Yes,Two year,No,65.5,No,< 1 Year
2984,No,1,No,No,DSL,No,Yes,Month-to-month,Yes,50.8,Yes,< 1 Year
2985,No,5,No,Yes,DSL,No,No,Month-to-month,No,50.55,No,< 1 Year
2986,Yes,49,No,Yes,Fiber optic,Yes,No,One year,Yes,93.65,No,> 3 Years
2987,Yes,69,No,No,Fiber optic,Yes,No,Two year,Yes,79.2,No,> 3 Years
2988,No,71,Yes,Yes,DSL,Yes,Yes,One year,Yes,84.8,No,> 3 Years
2989,No,3,No,No,Fiber optic,No,Yes,Month-to-month,Yes,83.9,Yes,< 1 Year
2990,Yes,43,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,40.45,No,> 3 Years
2991,No,67,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,111.3,No,> 3 Years
2992,No,50,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.15,No,> 3 Years
2993,Yes,44,No,No,DSL,Yes,Yes,One year,Yes,54.3,No,> 3 Years
2994,No,2,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.45,No,< 1 Year
2995,No,3,Yes,Yes,DSL,No,Yes,Two year,No,71.1,No,< 1 Year
2996,No,32,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,93.5,No,2 - 3 Years
2997,No,65,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,104.25,No,> 3 Years
2998,Yes,59,Yes,Yes,Fiber optic,No,Yes,Two year,Yes,111.1,No,> 3 Years
2999,No,34,No,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,105.1,No,2 - 3 Years
3000,Yes,39,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.2,No,> 3 Years
3001,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,114.0,No,> 3 Years
3002,No,2,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,104.4,Yes,< 1 Year
3003,No,3,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.95,No,< 1 Year
3004,No,14,No,No,Fiber optic,No,No,Month-to-month,Yes,89.8,Yes,1 - 2 Years
3005,No,37,No,No,Fiber optic,No,No,Month-to-month,Yes,92.5,Yes,> 3 Years
3006,Yes,49,No,No,Fiber optic,No,Yes,One year,Yes,100.6,Yes,> 3 Years
3007,Yes,19,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.6,No,1 - 2 Years
3008,Yes,48,Yes,No,DSL,Yes,No,One year,Yes,78.75,No,> 3 Years
3009,Yes,45,Yes,No,DSL,No,No,Month-to-month,Yes,50.9,No,> 3 Years
3010,No,4,No,No,DSL,No,No,Month-to-month,No,51.75,Yes,< 1 Year
3011,No,2,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.75,No,< 1 Year
3012,Yes,13,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,18.8,No,1 - 2 Years
3013,No,58,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,102.1,Yes,> 3 Years
3014,Yes,72,Yes,Yes,DSL,No,Yes,Two year,No,74.55,No,> 3 Years
3015,No,63,Yes,Yes,DSL,Yes,Yes,One year,No,83.0,No,> 3 Years
3016,No,2,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,91.15,No,< 1 Year
3017,No,52,Yes,No,DSL,Yes,Yes,One year,No,57.95,No,> 3 Years
3018,Yes,4,Yes,No,DSL,No,No,Month-to-month,No,50.3,No,< 1 Year
3019,No,30,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,105.7,No,2 - 3 Years
3020,No,68,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.05,No,> 3 Years
3021,No,64,No,Yes,DSL,No,Yes,One year,Yes,70.15,No,> 3 Years
3022,No,8,No,Yes,Fiber optic,No,No,Month-to-month,No,100.85,Yes,< 1 Year
3023,No,26,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.2,No,2 - 3 Years
3024,No,1,No,No,Fiber optic,No,No,Month-to-month,No,90.55,Yes,< 1 Year
3025,Yes,10,Yes,Yes,DSL,Yes,Yes,Two year,No,53.7,No,< 1 Year
3026,No,35,No,No,Fiber optic,Yes,Yes,One year,Yes,99.25,No,2 - 3 Years
3027,No,5,No,Yes,Fiber optic,No,No,Month-to-month,Yes,74.65,No,< 1 Year
3028,Yes,8,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.6,No,< 1 Year
3029,No,2,No,No,Fiber optic,No,No,Month-to-month,No,81.5,No,< 1 Year
3030,No,12,No,No,Fiber optic,No,No,Month-to-month,Yes,86.55,No,1 - 2 Years
3031,Yes,68,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.95,No,> 3 Years
3032,No,57,No,Yes,Fiber optic,No,No,Month-to-month,Yes,89.85,No,> 3 Years
3033,Yes,72,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,112.25,No,> 3 Years
3034,No,5,No,Yes,Fiber optic,No,No,Month-to-month,Yes,85.3,No,< 1 Year
3035,Yes,61,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.55,No,> 3 Years
3036,No,72,Yes,Yes,DSL,No,Yes,Two year,Yes,79.35,No,> 3 Years
3037,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,80.85,Yes,< 1 Year
3038,No,22,No,Yes,Fiber optic,No,No,Month-to-month,Yes,100.65,No,1 - 2 Years
3039,Yes,55,Yes,No,Fiber optic,No,No,One year,No,100.9,No,> 3 Years
3040,No,34,Yes,Yes,DSL,No,Yes,Month-to-month,No,62.65,Yes,2 - 3 Years
3041,No,29,Yes,Yes,DSL,No,Yes,Month-to-month,No,67.45,No,2 - 3 Years
3042,No,4,No,No,DSL,No,No,Month-to-month,Yes,44.8,No,< 1 Year
3043,No,1,No,No,DSL,No,No,Month-to-month,Yes,45.3,Yes,< 1 Year
3044,No,15,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,25.4,Yes,1 - 2 Years
3045,No,16,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.75,No,1 - 2 Years
3046,Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,65.2,No,> 3 Years
3047,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.25,No,< 1 Year
3048,No,9,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.15,No,< 1 Year
3049,No,1,No,No,DSL,No,No,Month-to-month,Yes,24.4,No,< 1 Year
3050,No,27,No,No,DSL,Yes,Yes,Month-to-month,No,59.45,No,2 - 3 Years
3051,Yes,64,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,91.8,No,> 3 Years
3052,Yes,72,Yes,Yes,Fiber optic,No,No,One year,Yes,104.15,No,> 3 Years
3053,No,56,Yes,No,Fiber optic,No,No,One year,Yes,98.0,No,> 3 Years
3054,No,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.65,No,> 3 Years
3055,No,38,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,79.45,Yes,> 3 Years
3056,Yes,53,No,No,DSL,Yes,Yes,One year,Yes,78.75,No,> 3 Years
3057,No,69,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,110.05,No,> 3 Years
3058,Yes,7,Yes,No,DSL,Yes,Yes,Two year,No,49.65,No,< 1 Year
3059,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.35,No,< 1 Year
3060,No,56,No,Yes,Fiber optic,No,Yes,Month-to-month,Yes,105.45,No,> 3 Years
3061,No,17,No,No,Fiber optic,No,No,Month-to-month,Yes,94.2,No,1 - 2 Years
3062,No,48,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.0,No,> 3 Years
3063,No,63,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,19.95,No,> 3 Years
3064,Yes,31,No,No,Fiber optic,No,No,Month-to-month,Yes,86.55,Yes,2 - 3 Years
3065,No,71,No,Yes,Fiber optic,Yes,No,Two year,No,89.45,No,> 3 Years
3066,Yes,69,No,Yes,DSL,Yes,No,Two year,Yes,54.95,No,> 3 Years
3067,No,4,No,No,Fiber optic,No,No,Month-to-month,Yes,70.05,Yes,< 1 Year
3068,Yes,68,Yes,Yes,DSL,Yes,No,One year,Yes,73.0,No,> 3 Years
3069,No,16,Yes,No,Fiber optic,No,No,Month-to-month,Yes,94.25,Yes,1 - 2 Years
3070,No,66,Yes,Yes,DSL,No,No,One year,Yes,54.8,No,> 3 Years
3071,No,66,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,105.0,Yes,> 3 Years
3072,Yes,44,Yes,No,DSL,No,Yes,Month-to-month,No,56.25,No,> 3 Years
3073,No,4,No,No,Fiber optic,No,No,Month-to-month,Yes,95.45,Yes,< 1 Year
3074,No,20,No,No,Fiber optic,No,No,One year,Yes,91.0,No,1 - 2 Years
3075,No,47,No,No,Fiber optic,Yes,No,Month-to-month,Yes,85.3,Yes,> 3 Years
3076,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.25,No,< 1 Year
3077,No,43,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,94.1,No,> 3 Years
3078,No,10,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.95,No,< 1 Year
3079,No,11,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.4,No,< 1 Year
3080,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.9,No,< 1 Year
3081,No,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,63.1,No,> 3 Years
3082,No,72,Yes,Yes,DSL,No,No,Two year,No,59.75,No,> 3 Years
3083,No,72,Yes,Yes,Fiber optic,No,No,Two year,Yes,84.05,No,> 3 Years
3084,No,72,No,Yes,DSL,Yes,Yes,Two year,Yes,85.45,No,> 3 Years
3085,No,50,No,Yes,Fiber optic,No,Yes,One year,Yes,106.8,No,> 3 Years
3086,Yes,60,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.95,No,> 3 Years
3087,No,6,No,No,DSL,No,Yes,Month-to-month,Yes,49.5,No,< 1 Year
3088,No,5,No,Yes,Fiber optic,Yes,No,Month-to-month,No,104.1,Yes,< 1 Year
3089,Yes,54,No,Yes,DSL,Yes,No,Two year,Yes,59.8,No,> 3 Years
3090,Yes,39,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.0,No,> 3 Years
3091,Yes,67,Yes,Yes,DSL,Yes,Yes,Two year,No,54.2,No,> 3 Years
3092,Yes,71,No internet service,No internet service,No,No internet service,No internet service,Two year,No,23.9,No,> 3 Years
3093,Yes,63,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.25,No,> 3 Years
3094,No,30,Yes,No,DSL,Yes,No,Two year,Yes,55.65,No,2 - 3 Years
3095,Yes,57,Yes,No,DSL,Yes,Yes,One year,Yes,59.3,No,> 3 Years
3096,No,2,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.9,No,< 1 Year
3097,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,73.55,Yes,< 1 Year
3098,No,3,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,18.8,No,< 1 Year
3099,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,116.05,No,> 3 Years
3100,Yes,63,Yes,Yes,DSL,Yes,Yes,Two year,Yes,89.4,No,> 3 Years
3101,No,56,Yes,Yes,Fiber optic,Yes,No,One year,No,109.8,No,> 3 Years
3102,Yes,1,Yes,No,DSL,No,No,Month-to-month,No,49.9,No,< 1 Year
3103,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.5,Yes,< 1 Year
3104,No,6,No,No,Fiber optic,No,No,Month-to-month,Yes,69.25,Yes,< 1 Year
3105,No,24,No,Yes,DSL,No,No,Month-to-month,No,54.8,No,2 - 3 Years
3106,No,56,Yes,Yes,Fiber optic,Yes,No,One year,No,110.5,No,> 3 Years
3107,Yes,6,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.4,No,< 1 Year
3108,No,4,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,99.8,Yes,< 1 Year
3109,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.2,Yes,< 1 Year
3110,No,68,No,Yes,Fiber optic,Yes,No,One year,No,86.45,No,> 3 Years
3111,No,27,No,No,Fiber optic,Yes,No,One year,Yes,100.5,No,2 - 3 Years
3112,Yes,62,No,Yes,Fiber optic,No,Yes,One year,Yes,106.05,No,> 3 Years
3113,No,15,No,No,DSL,Yes,No,Month-to-month,Yes,59.45,Yes,1 - 2 Years
3114,No,15,No,Yes,Fiber optic,No,No,Month-to-month,No,89.85,Yes,1 - 2 Years
3115,No,9,Yes,No,Fiber optic,No,No,Month-to-month,Yes,81.15,No,< 1 Year
3116,No,27,No,No,Fiber optic,Yes,No,Month-to-month,No,88.3,Yes,2 - 3 Years
3117,No,5,No,Yes,DSL,No,No,Month-to-month,Yes,51.35,No,< 1 Year
3118,No,69,No,No,DSL,Yes,No,One year,Yes,29.8,No,> 3 Years
3119,Yes,10,No,Yes,DSL,Yes,No,Month-to-month,Yes,55.55,No,< 1 Year
3120,No,43,Yes,No,DSL,No,Yes,Month-to-month,No,34.0,No,> 3 Years
3121,Yes,45,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.85,No,> 3 Years
3122,No,17,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.05,No,1 - 2 Years
3123,Yes,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.75,Yes,< 1 Year
3124,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,75.75,Yes,< 1 Year
3125,No,12,No,No,DSL,No,No,Month-to-month,No,43.8,No,1 - 2 Years
3126,Yes,21,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,24.7,No,1 - 2 Years
3127,No,14,Yes,Yes,Fiber optic,No,No,Month-to-month,No,78.85,No,1 - 2 Years
3128,No,57,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,112.95,Yes,> 3 Years
3129,Yes,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.45,No,< 1 Year
3130,No,5,No,No,Fiber optic,No,No,Month-to-month,Yes,81.0,Yes,< 1 Year
3131,No,2,No,Yes,DSL,No,Yes,Month-to-month,Yes,55.05,Yes,< 1 Year
3132,No,1,No,No,DSL,No,No,Month-to-month,No,45.6,No,< 1 Year
3133,No,2,No,No,Fiber optic,No,No,Month-to-month,No,70.1,No,< 1 Year
3134,Yes,19,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.8,No,1 - 2 Years
3135,No,12,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.15,No,1 - 2 Years
3136,No,47,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.15,No,> 3 Years
3137,No,45,No,Yes,Fiber optic,No,No,Month-to-month,No,81.4,No,> 3 Years
3138,Yes,57,Yes,No,DSL,Yes,Yes,Two year,Yes,84.5,No,> 3 Years
3139,No,67,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,26.1,No,> 3 Years
3140,No,58,No,No,Fiber optic,No,Yes,Month-to-month,No,80.65,No,> 3 Years
3141,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,74.9,Yes,< 1 Year
3142,No,34,No internet service,No internet service,No,No internet service,No internet service,Two year,No,26.1,No,2 - 3 Years
3143,No,13,Yes,No,Fiber optic,No,No,Month-to-month,Yes,80.0,No,1 - 2 Years
3144,No,12,No,No,Fiber optic,Yes,No,Month-to-month,Yes,96.0,Yes,1 - 2 Years
3145,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.25,Yes,< 1 Year
3146,No,5,No,No,Fiber optic,No,No,Month-to-month,No,75.55,Yes,< 1 Year
3147,No,22,No,No,Fiber optic,No,Yes,Month-to-month,Yes,90.5,Yes,1 - 2 Years
3148,No,35,No,No,Fiber optic,Yes,No,Month-to-month,Yes,99.05,Yes,2 - 3 Years
3149,Yes,40,Yes,No,DSL,No,Yes,Month-to-month,Yes,64.1,No,> 3 Years
3150,No,3,No,Yes,Fiber optic,Yes,No,Month-to-month,No,90.4,No,< 1 Year
3151,No,70,No,Yes,DSL,Yes,Yes,Two year,Yes,84.8,No,> 3 Years
3152,No,14,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.9,No,1 - 2 Years
3153,No,67,No,No,Fiber optic,No,No,Month-to-month,Yes,75.7,No,> 3 Years
3154,Yes,12,No internet service,No internet service,No,No internet service,No internet service,Two year,No,21.05,No,1 - 2 Years
3155,No,55,No,Yes,DSL,No,Yes,One year,Yes,64.2,No,> 3 Years
3156,No,48,Yes,No,DSL,No,Yes,One year,Yes,70.95,No,> 3 Years
3157,No,43,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,115.05,No,> 3 Years
3158,Yes,68,Yes,Yes,DSL,Yes,Yes,Two year,No,88.0,No,> 3 Years
3159,No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,114.5,No,> 3 Years
3160,No,43,No,Yes,Fiber optic,No,No,Month-to-month,No,80.45,No,> 3 Years
3161,No,11,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.3,No,< 1 Year
3162,No,1,No,No,DSL,No,No,Month-to-month,No,35.0,No,< 1 Year
3163,No,55,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,81.55,No,> 3 Years
3164,No,59,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,89.75,No,> 3 Years
3165,No,68,No,Yes,Fiber optic,Yes,No,One year,No,79.6,No,> 3 Years
3166,No,70,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,113.65,No,> 3 Years
3167,No,56,No,Yes,Fiber optic,Yes,Yes,Month-to-month,No,90.55,No,> 3 Years
3168,No,48,No,Yes,DSL,Yes,Yes,One year,Yes,73.85,No,> 3 Years
3169,No,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,90.95,No,> 3 Years
3170,No,18,No,No,DSL,No,No,Month-to-month,Yes,50.3,No,1 - 2 Years
3171,No,2,No,No,Fiber optic,No,No,Month-to-month,No,70.7,No,< 1 Year
3172,Yes,32,No,Yes,Fiber optic,No,No,Month-to-month,Yes,93.95,No,2 - 3 Years
3173,No,57,No,Yes,DSL,Yes,No,Month-to-month,Yes,55.0,No,> 3 Years
3174,Yes,35,No,No,Fiber optic,Yes,No,One year,Yes,85.15,Yes,2 - 3 Years
3175,Yes,6,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.4,No,< 1 Year
3176,Yes,40,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,71.35,No,> 3 Years
3177,Yes,19,Yes,Yes,DSL,No,No,Month-to-month,Yes,34.95,No,1 - 2 Years
3178,No,3,No,No,DSL,Yes,No,Month-to-month,Yes,49.15,Yes,< 1 Year
3179,No,2,No,No,DSL,No,No,Month-to-month,Yes,45.0,Yes,< 1 Year
3180,Yes,67,No,Yes,DSL,Yes,Yes,Two year,Yes,59.55,No,> 3 Years
3181,No,8,No,Yes,DSL,Yes,No,Month-to-month,Yes,54.75,No,< 1 Year
3182,No,49,No,Yes,DSL,No,No,Two year,No,49.65,No,> 3 Years
3183,No,72,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,97.95,No,> 3 Years
3184,No,26,Yes,No,Fiber optic,Yes,Yes,One year,Yes,87.15,No,2 - 3 Years
